title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,Ground Clearance,Seating Capacity,Drive Type,Length,No. of Airbags,Boot Space,Range,Battery Capacity,Charging Time DC,Charging Time AC,Global NCAP Safety Rating,Top Speed
2019 Maruti Swift Dzire VXI 1.2 BS IV,₹5.75 Lakh,"West, Thane",Jan 2019,Expired,Petrol,5 Seats,"21,379 Kms",Thane,First Owner,1197 cc,Manual,2019,1197 cc,81.80 bhp,22 kmpl,Petrol,,,,,,,,,,,,
2017 Hyundai Creta 1.6 VTVT AT SX Plus,₹8.45 Lakh,"Malad West, Mumbai",May 2017,Comprehensive,Petrol,5 Seats,"59,636 Kms",Mumbai,First Owner,1591 cc,Automatic,2017,1591 cc,121.3 bhp,13 kmpl,,190mm,5,FWD,,,,,,,,,
2013 Hyundai i20 Asta 1.2,₹3.65 Lakh,"Andheri West, Mumbai",Apr 2013,Comprehensive,Petrol,5 Seats,"25,000 Kms",Mumbai,First Owner,1197 cc,Manual,2013,1197 cc,82.85 bhp,18.5 kmpl,Petrol,,,,3995mm,,,,,,,,
2012 Honda Brio S Option MT,₹2.55 Lakh,"Mulund West, Mumbai",May 2012,Comprehensive,Petrol,5 Seats,"71,000 Kms",Thane,First Owner,1198 cc,Manual,2012,1198 cc,86.8 bhp,18.4 kmpl,Petrol,,,,3610mm,,,,,,,,
2023 Maruti Celerio ZXI Plus AMT BSVI,₹6.49 Lakh,"Ghatkopar West, Mumbai",Jul 2023,Comprehensive,Petrol,5 Seats,"8,760 Kms",kalyan,First Owner,998 cc,Automatic,2023,998 cc,65.71 bhp,26 kmpl,Petrol,,,,,2,,,,,,,
2021 Maruti XL6 Zeta AT,₹9.75 Lakh,"Mulund West, Mumbai",Jul 2021,Third Party,Petrol,6 Seats,"69,580 Kms",Mumbai,First Owner,1462 cc,Automatic,2021,1462 cc,101.64 bhp,,Petrol,,6,,,,209 Litres,,,,,,
2022 Hyundai Venue SX Opt iMT,₹10.25 Lakh,"Andheri, Mumbai",Oct 2022,Comprehensive,Petrol,5 Seats,"12,000 Kms",Mumbai,First Owner,998 cc,Manual,2022,998 cc,118.35 bhp,18 kmpl,Petrol,,,FWD,,,,,,,,,
2021 Tata Nexon EV XZ Plus LUX,₹10.75 Lakh,"Matunga West, Mumbai",Mar 2021,Comprehensive,Electric,5 Seats,"22,000 Kms",Mumbai,First Owner,,Automatic,2021,,127 bhp,,,,5,,,,,312 km,30.2 kWh,60 Mins,9.16 Hours,5 Star,
2024 MG Hector Plus Sharp Pro CVT 7 Str,₹21.50 Lakh,"Andheri West, Mumbai",Oct 2024,Comprehensive,Petrol,7 Seats,"3,700 Kms",Mumbai,First Owner,1451 cc,Automatic,2024,,,,,,,,,,,,,,,,
2018 Mercedes-Benz GLE 43 AMG Coupe,₹58 Lakh,"West, Thane",Nov 2018,Comprehensive,Petrol,5 Seats,"39,500 Kms",Mumbai,First Owner,2996 cc,Automatic,2018,2996 cc,384.87 bhp,,Petrol,,,AWD,,,,,,,,,250 kmph
2017 Jeep Compass 1.4 Limited,₹10.95 Lakh,"West, Thane",Dec 2017,Expired,Petrol,5 Seats,"45,654 Kms",Mumbai,First Owner,1368 cc,Automatic,2017,1368 cc,160 bhp,16 kmpl,,178mm,5,4X2,,,,,,,,,
2020 Kia Seltos HTK Plus AT D,₹12.31 Lakh,"Bazargate, Mumbai",Dec 2020,Comprehensive,Diesel,5 Seats,"12,31,000 Kms",Mumbai,First Owner,1493 cc,Automatic,2020,1493 cc,113.42 bhp,17.8 kmpl,Diesel,,5,2WD,,,,,,,,,
2019 Hyundai Santro Sportz CNG BSIV,₹3.80 Lakh,"Mulund West, Mumbai",Mar 2019,Expired,CNG,5 Seats,"74,229 Kms",Thane,First Owner,1086 cc,Manual,2019,1086 cc,58 bhp,30.48 km/kg,CNG,,,,,1,,,,,,,
2014 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹2.79 Lakh,"Kandivali East, Mumbai",Oct 2014,Comprehensive,Petrol,5 Seats,"67,870 Kms",Navi Mumbai,Third Owner,1197 cc,Manual,2014,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2017 Hyundai i20 1.2 Magna Executive,₹3.66 Lakh,"Mulund West, Mumbai",Oct 2017,Third Party,Petrol,5 Seats,"58,232 Kms",Mumbai,First Owner,1197 cc,Manual,2017,1197 cc,81.83 bhp,18.6 kmpl,Petrol,,,,3985mm,,,,,,,,
2017 Toyota Fortuner 2.8 2WD AT BSIV,₹30.45 Lakh,"Goregaon (w), Mumbai",Jul 2017,Comprehensive,Diesel,7 Seats,"29,000 Kms",Mumbai,First Owner,2755 cc,Automatic,2017,2755 cc,174.5 bhp,12.9 kmpl,,220mm,7,RWD,,,,,,,,,
2022 MG Astor Savvy Turbo AT BSVI,₹14.25 Lakh,"Goregaon (w), Mumbai",Mar 2022,Expired,Petrol,5 Seats,"11,900 Kms",vasai,First Owner,1349 cc,Automatic,2022,1349 cc,138.08 bhp,14.34 kmpl,Petrol,,5,,,6,,,,,,,
2019 Maruti Celerio X ZXI,₹4.59 Lakh,"West, Thane",Jul 2019,Comprehensive,Petrol,5 Seats,"56,545 Kms",vasai,First Owner,998 cc,Manual,2019,998 cc,67.05 bhp,21.63 kmpl,Petrol,,,,,1,,,,,,,
2016 Hyundai i20 Active 1.2 SX,₹5.59 Lakh,"West, Thane",Oct 2016,Comprehensive,Petrol,5 Seats,"23,950 Kms",Thane,First Owner,1197 cc,Manual,2016,,,,,,,,,,,,,,,,
2022 Tata Nexon EV XZ Plus Dark Edition,₹9.90 Lakh,"Antop Hill, Mumbai",Sept 2022,Comprehensive,Electric,5 Seats,"35,000 Kms",panvel,First Owner,,Automatic,2022,,127 bhp,,,,5,,,,,312 km,30.2 kWh,60 Mins,9.16 Hours,5 Star,
2023 BMW X3 2022-2025 xDrive20d Luxury Edition,₹64.50 Lakh,"Matunga West, Mumbai",Mar 2023,Comprehensive,Diesel,5 Seats,"8,500 Kms",Mumbai,First Owner,1995 cc,Automatic,2023,1995 cc,187.74 bhp,16.55 kmpl,Diesel,,5,AWD,,,,,,,,,
2015 Honda City i VTEC SV,₹4.99 Lakh,"West, Thane",Aug 2015,Comprehensive,Petrol,5 Seats,"30,373 Kms",Thane,First Owner,1497 cc,Manual,2015,1497 cc,117.3 bhp,17.4 kmpl,Petrol,,,,,,,,,,,,
2021 Kia Seltos GTX Plus Diesel AT,₹15.91 Lakh,Thane,Apr 2021,Comprehensive,Diesel,5 Seats,"52,000 Kms",Mumbai,First Owner,1493 cc,Automatic,2021,1493 cc,113.43 bhp,18 kmpl,Diesel,,5,FWD,,,,,,,,,
2020 Tata Nexon XZA Plus AMT S,₹9.07 Lakh,"West, Thane",Nov 2020,Comprehensive,Petrol,5 Seats,"28,932 Kms",Mumbai,First Owner,1199 cc,Automatic,2020,1199 cc,118.36 bhp,16.35 kmpl,Petrol,209,,,,,,,,,,,
2022 Skoda Kushaq 1.0 TSI Monte Carlo AT,₹15.90 Lakh,"Goregaon (w), Mumbai",Oct 2022,Comprehensive,Petrol,5 Seats,"18,000 Kms",Thane,First Owner,999 cc,Automatic,2022,999 cc,113.98 bhp,18.09 kmpl,,188 mm,5,FWD,,,,,,,,5 Star,
2015 Maruti Swift VXI,₹3.99 Lakh,"Ins Hamla, Mumbai",Feb 2015,Comprehensive,Petrol,5 Seats,"45,000 Kms",Mumbai,First Owner,1197 cc,Manual,2015,1197 cc,81.80 bhp,21.21 kmpl,Petrol,,,,,2,,,,,,,
2020 Toyota Fortuner 2.8 2WD AT BSIV,₹35 Lakh,"Goregaon (w), Mumbai",Nov 2020,Comprehensive,Diesel,7 Seats,"26,000 Kms",Thane,First Owner,2755 cc,Automatic,2020,2755 cc,174.5 bhp,12.9 kmpl,,220mm,7,RWD,,,,,,,,,
2019 Hyundai i20 Sportz Plus BSIV,₹5.99 Lakh,"Khar Colony, Mumbai",Aug 2019,Comprehensive,Petrol,5 Seats,"28,001 Kms",Mumbai,First Owner,1197 cc,Manual,2019,1197 cc,81.86 bhp,18.6 kmpl,Petrol,,,,,2,,,,,,,
2020 Volkswagen T-Roc TSI,₹17.75 Lakh,"Andheri East, Mumbai",May 2020,Comprehensive,Petrol,5 Seats,"47,000 Kms",Mumbai,First Owner,1498 cc,Automatic,2020,1498 cc,147.94 bhp,18.4 kmpl,Petrol,,5,FWD,,,,,,,,,
2017 Maruti Baleno 1.2 Delta,₹5.34 Lakh,"Borivali West, Mumbai",Aug 2017,Expired,Petrol,5 Seats,"30,600 Kms",Mumbai,First Owner,1197 cc,Manual,2017,1197 cc,83.1 bhp,21.4 kmpl,Petrol,,,,3995mm,,,,,,,,
2018 Hyundai Creta 1.6 VTVT SX Plus,₹8.26 Lakh,"Sakinaka, Mumbai",May 2018,Comprehensive,Petrol,5 Seats,"58,000 Kms",Mumbai,First Owner,1591 cc,Manual,2018,1591 cc,121.3 bhp,13 kmpl,,190mm,,FWD,,,,,,,,,
2015 Honda City i VTEC CVT VX,₹6.25 Lakh,"Vileparle(west) S.o, Mumbai",Feb 2015,Zero Dep,Petrol,5 Seats,"46,500 Kms",Mumbai,First Owner,1497 cc,Automatic,2015,1497 cc,117.3 bhp,18 kmpl,Petrol,,,,,,,,,,,,
2020 Toyota Yaris G,₹6.95 Lakh,"Matunga West, Mumbai",Nov 2020,Comprehensive,Petrol,5 Seats,"16,900 Kms",Mumbai,Second Owner,1496 cc,Manual,2020,1496 cc,105.94 bhp,17.1 kmpl,Petrol,,,,,3,,,,,,,
2021 Mahindra XUV300 W8 Option AMT BSVI,₹8.28 Lakh,"Mulund West, Mumbai",Aug 2021,Comprehensive,Petrol,5 Seats,"48,337 Kms",Mumbai,Second Owner,1197 cc,Automatic,2021,1197 cc,108.62 bhp,16.5 kmpl,Petrol,,5,,,6,,,,,,,
2021 Toyota Urban cruiser Premium AT,₹8.95 Lakh,"Chembur, Mumbai",Mar 2021,Comprehensive,Petrol,5 Seats,"42,000 Kms",Mumbai,Second Owner,1462 cc,Automatic,2021,1462 cc,103.26 bhp,18.76 kmpl,Petrol,,,,,2,,,,,,,
2015 Hyundai Grand i10 1.2 Kappa Asta,₹3.74 Lakh,"Kandivali East, Mumbai",Apr 2015,Comprehensive,Petrol,5 Seats,"46,071 Kms",Mumbai,First Owner,1197 cc,Manual,2015,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2015 Maruti Swift Dzire VXI,₹3.70 Lakh,"Mulund West, Mumbai",Sept 2015,Third Party,Petrol,5 Seats,"77,489 Kms",Navi Mumbai,First Owner,1197 cc,Manual,2015,1197 cc,88.50 bhp,22.41 kmpl,Petrol,,,,,,378 Litres,,,,,3 Star,
2019 Maruti Vitara Brezza ZDi,₹8.95 Lakh,Thane,Dec 2019,Third Party,Diesel,5 Seats,"58,000 Kms",kalyan,First Owner,1248 cc,Manual,2019,1248 cc,88.5 bhp,24.3 kmpl,,198mm,,FWD,,,,,,,,,
2021 Toyota Innova Crysta 2.4 GX 7 STR AT,₹23.25 Lakh,"Goregaon (w), Mumbai",Feb 2021,Comprehensive,Diesel,7 Seats,"28,000 Kms",Mumbai,First Owner,2393 cc,Automatic,2021,2393 cc,148 bhp,,Diesel,,7,,,3,,,,,,,
2016 Volkswagen Vento 1.2 TSI Comfortline AT,₹5.35 Lakh,"Antop Hill, Mumbai",Sept 2016,Comprehensive,Petrol,5 Seats,"76,000 Kms",Mumbai,First Owner,1197 cc,Automatic,2016,1197 cc,103.5 bhp,18.19 kmpl,Petrol,,,,,,,,,,,,
2019 Hyundai Creta 1.6 SX Automatic Diesel,₹11.90 Lakh,"Andheri West, Mumbai",Aug 2019,Comprehensive,Diesel,5 Seats,"61,000 Kms",Mumbai,First Owner,1582 cc,Automatic,2019,1582 cc,126.2 bhp,17.6 kmpl,Diesel,,5,FWD,,,,,,,,,
2017 Hyundai Creta 1.6 VTVT AT SX Plus,₹9.49 Lakh,"West, Thane",Mar 2017,Comprehensive,Petrol,5 Seats,"37,926 Kms",Mumbai,First Owner,1591 cc,Automatic,2017,,,,,,,,,,,,,,,,
2021 Tata Nexon XZA Plus Dark Edition,₹7.94 Lakh,"Nerul, Navi Mumbai",Oct 2021,Comprehensive,Petrol,5 Seats,"53,506 Kms",panvel,First Owner,1199 cc,Automatic,2021,,,,,,,,,,,,,,,,
2019 MG Hector Sharp DCT,₹12.75 Lakh,"Jogeshwari East, Mumbai",Dec 2019,Expired,Petrol,5 Seats,"33,000 Kms",Navi Mumbai,First Owner,1451 cc,Automatic,2019,1451 cc,141 bhp,13.96 kmpl,,183mm,5,FWD,,,,,,,,,
2021 Mahindra XUV300 W8 Option AMT BSVI,₹10.75 Lakh,"Andheri East, Mumbai",Feb 2021,Comprehensive,Petrol,5 Seats,"14,900 Kms",Mumbai,First Owner,1197 cc,Automatic,2021,1197 cc,108.62 bhp,16.5 kmpl,Petrol,,5,,,6,,,,,,,
2013 Ford Ecosport 1.0 Ecoboost Titanium Optional,₹4.49 Lakh,"Borivali West, Mumbai",Oct 2013,Expired,Petrol,5 Seats,"34,000 Kms",Mumbai,Second Owner,999 cc,Manual,2013,999 cc,123.37 bhp,18.88 kmpl,,200mm,,FWD,,,,,,,,,
2019 Kia Seltos GTX Plus DCT,₹12.25 Lakh,"Andheri West, Mumbai",Dec 2019,Comprehensive,Petrol,5 Seats,"59,000 Kms",Mumbai,First Owner,1353 cc,Automatic,2019,1353 cc,138.08 bhp,16.5 kmpl,Petrol,,5,FWD,,,,,,,,,
2020 Ford Ecosport 1.5 Petrol Titanium Plus,₹10.21 Lakh,"Borivali West, Mumbai",Nov 2020,Expired,Petrol,5 Seats,"43,000 Kms",Mumbai,First Owner,1496 cc,Manual,2020,1496 cc,120.69 bhp,15.9 kmpl,,200mm,,FWD,,,,,,,,,
2015 Honda City VX MT,₹6.05 Lakh,"Kandivali East, Mumbai",Jun 2015,Comprehensive,Petrol,5 Seats,"41,075 Kms",Mumbai,First Owner,1498 cc,Manual,2015,1498 cc,119.35 bhp,18.6 kmpl,Petrol,,,,,6,,,,,,,
2021 Tata Nexon EV XZ Plus LUX,₹9.75 Lakh,"Matunga West, Mumbai",Apr 2021,Comprehensive,Electric,5 Seats,"22,000 Kms",Mumbai,First Owner,,Automatic,2021,,127 bhp,,,,5,,,,,312 km,30.2 kWh,60 Mins,9.16 Hours,5 Star,
2019 Datsun RediGO 1.0 T Option Limited Edition,₹3.25 Lakh,"Borivali West, Mumbai",Jan 2019,Expired,Petrol,5 Seats,"24,000 Kms",Mumbai,First Owner,999 cc,Manual,2019,999 cc,67 bhp,22.5 kmpl,Petrol,,,,3429mm,,,,,,,,
2012 Mercedes-Benz S-Class S 300,₹13.75 Lakh,"Borivali West, Mumbai",Oct 2012,Expired,Petrol,5 Seats,"74,000 Kms",Mumbai,Second Owner,2987 cc,Automatic,2012,2987 cc,,13 kmpl,Petrol,,,,,,,,,,,,
2022 Tata Nexon XZA Plus HS AMT,₹8.27 Lakh,"Goregaon East, Mumbai",Jan 2023,Third Party,Petrol,5 Seats,"28,009 Kms",Mumbai,First Owner,1199 cc,Automatic,2022,,,,,,,,,,,,,,,,
2012 Honda Brio S MT,₹2.20 Lakh,"Mulund West, Mumbai",Jun 2012,Comprehensive,Petrol,5 Seats,"48,000 Kms",Mumbai,Second Owner,1198 cc,Manual,2012,1198 cc,86.8 bhp,19.4 kmpl,Petrol,,,,3610mm,,,,,,,,
2021 Honda City VX CVT,₹10.26 Lakh,"Goregaon East, Mumbai",Nov 2021,Expired,Petrol,5 Seats,"55,108 Kms",Mumbai,First Owner,1498 cc,Automatic,2021,1498 cc,119.35 bhp,18.3 kmpl,Petrol,,,,,6,,,,,,,
2020 Maruti Swift AMT ZXI,₹6.41 Lakh,"Dadar, Mumbai",Feb 2021,Comprehensive,Petrol,5 Seats,"13,078 Kms",Navi Mumbai,First Owner,1197 cc,Automatic,2020,1197 cc,81.80 bhp,21.21 kmpl,Petrol,,,,,2,,,,,,,
2018 Maruti Wagon R LXI CNG,₹4.91 Lakh,"Sakinaka, Mumbai",Feb 2019,Expired,CNG,5 Seats,"59,000 Kms",Mumbai,First Owner,998 cc,Manual,2018,998 cc,58.16 bhp,26.6 km/kg,CNG,,,,3599mm,,,,,,,,
2014 Ford Ecosport 1.5 Ti VCT MT Trend,₹4.25 Lakh,"Prabhadevi, Mumbai",Sept 2014,Comprehensive,Petrol,5 Seats,"52,600 Kms",Mumbai,First Owner,1499 cc,Manual,2014,1499 cc,110 bhp,15.8 kmpl,,200mm,,FWD,,,,,,,,,
2016 Hyundai i20 Active 1.2 SX,₹5.12 Lakh,"Kandivali East, Mumbai",Aug 2016,Comprehensive,Petrol,5 Seats,"50,669 Kms",Navi Mumbai,First Owner,1197 cc,Manual,2016,1197 cc,81.86 bhp,17.19 kmpl,Petrol,,,,3995mm,,,,,,,,
2014 Maruti Ertiga ZXI,₹5.45 Lakh,"Jogeshwari West, Mumbai",Sept 2014,Comprehensive,Petrol,7 Seats,"28,000 Kms",panvel,First Owner,1373 cc,Manual,2014,,,,,,,,,,,,,,,,
2019 Hyundai Creta 1.4 EX Diesel,₹10 Lakh,"Malad West Dely, Mumbai",Oct 2019,Expired,Diesel,5 Seats,"99,000 Kms",Mumbai,First Owner,1396 cc,Manual,2019,1396 cc,88.7 bhp,22.1 kmpl,Diesel,,,FWD,,,,,,,,,
2017 Honda WR-V i-VTEC VX,₹6.25 Lakh,"Sanpada, Navi Mumbai",Sept 2017,Third Party,Petrol,5 Seats,"42,900 Kms",Mumbai,First Owner,1199 cc,Manual,2017,1199 cc,88.7 bhp,17.5 kmpl,,188mm,,FWD,,,,,,,,,
2017 Hyundai Creta 1.6 VTVT AT SX Plus,₹7.25 Lakh,"V K Bhavan, Mumbai",Nov 2017,Expired,Petrol,5 Seats,"76,000 Kms",Mumbai,Second Owner,1591 cc,Automatic,2017,1591 cc,121.3 bhp,13 kmpl,,190mm,5,FWD,,,,,,,,,
2021 Maruti Wagon R CNG LXI,₹6 Lakh,Thane,May 2021,Expired,CNG,5 Seats,"42,000 Kms",Mumbai,First Owner,998 cc,Manual,2021,998 cc,58.33 bhp,32.52 km/kg,CNG,,,,,1,,,,,,,
2018 Maruti Swift Dzire AMT ZXI Plus,₹6.16 Lakh,"Goregaon East, Mumbai",Dec 2018,Third Party,Petrol,5 Seats,"10,721 Kms",Mumbai,First Owner,1197 cc,Automatic,2018,1197 cc,81.80 bhp,21.21 kmpl,Petrol,,,,,2,,,,,,,
2024 Maruti Dzire ZXI,₹7.80 Lakh,"Vadpe, Thane",Feb 2024,Comprehensive,Petrol,5 Seats,"4,000 Kms",Pune,Second Owner,1197 cc,Manual,2024,1197 cc,80 bhp,24.79 kmpl,Petrol,,,,,,382 Litres,,,,,5 Star,
2020 Tata Altroz XE BSVI,₹5.95 Lakh,"Matunga West, Mumbai",Aug 2020,Expired,Petrol,5 Seats,"16,000 Kms",vasai,First Owner,1199 cc,Manual,2020,1199 cc,86.83 bhp,19.33 kmpl,Petrol,,,,,2,,,,,,,
2019 Ford Ecosport 1.5 Ti VCT AT Titanium,₹7.95 Lakh,"Dadar, Mumbai",Aug 2019,Comprehensive,Petrol,5 Seats,"23,199 Kms",Navi Mumbai,First Owner,1499 cc,Automatic,2019,1499 cc,110 bhp,16.5 kmpl,,200mm,,FWD,,,,,,,,,
2023 Tata Nexon XZA Plus AMT S,₹10.92 Lakh,"Navi, Mumbai",Sept 2023,Comprehensive,Petrol,5 Seats,"12,076 Kms",Mumbai,First Owner,1199 cc,Automatic,2023,1199 cc,118.36 bhp,16.35 kmpl,Petrol,209,,,,,,,,,,,
2023 Maruti Swift ZXI AMT,₹8.25 Lakh,"Goregaon (w), Mumbai",Mar 2023,Expired,Petrol,5 Seats,"11,000 Kms",Mumbai,First Owner,1197 cc,Automatic,2023,1197 cc,88.50 bhp,22.56 kmpl,Petrol,,,,,,268 Litres,,,,,,
2018 Mercedes-Benz GLA Class 200 Sport,₹19.25 Lakh,"Borivali West, Mumbai",Dec 2018,Zero Dep,Petrol,5 Seats,"39,507 Kms",Mumbai,First Owner,1991 cc,Automatic,2018,1991 cc,183 bhp,,Petrol,,5,2WD,,,,,,,,,225 kmph
2016 Hyundai Creta 1.6 VTVT S,₹6.75 Lakh,"Malad, Mumbai",Jun 2016,Comprehensive,Petrol,5 Seats,"72,000 Kms",Mumbai,First Owner,1591 cc,Manual,2016,1591 cc,121.3 bhp,15.29 kmpl,,190mm,,FWD,,,,,,,,,
2018 Hyundai Grand i10 1.2 Kappa Magna BSIV,₹4.75 Lakh,"Kandivali West, Mumbai",May 2018,Comprehensive,Petrol,5 Seats,"24,364 Kms",Mumbai,First Owner,1197 cc,Manual,2018,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2019 Audi A3 35 TFSI Premium Plus,₹17.95 Lakh,"Khar (w), Mumbai",Aug 2019,Comprehensive,Petrol,5 Seats,"54,000 Kms",Mumbai,First Owner,1395 cc,Automatic,2019,1395 cc,150 bhp,,Petrol,,5,FWD,,,,,,,,,222 kmph
2016 Ford Mustang V8,₹69 Lakh,"Bazargate, Mumbai",Apr 2017,Comprehensive,Petrol,4 Seats,"30,000 Kms",Gwalior,Second Owner,4951 cc,Automatic,2016,4951 cc,395 bhp,13 kmpl,Petrol,,4,,,,,,,,,,
2015 Maruti Ciaz ZXi,₹5.07 Lakh,"Dadar, Mumbai",Oct 2015,Comprehensive,Petrol,5 Seats,"28,510 Kms",Mumbai,First Owner,1373 cc,Manual,2015,1373 cc,91.1 bhp,20.73 kmpl,Petrol,,,,,,,,,,,,
2019 Hyundai Santro Sportz CNG BSIV,₹4.25 Lakh,"Dadar, Mumbai",Apr 2019,Expired,CNG,5 Seats,"47,574 Kms",Mumbai,First Owner,1086 cc,Manual,2019,1086 cc,58 bhp,30.48 km/kg,CNG,,,,,1,,,,,,,
2019 Honda City i-VTEC CVT V,₹7.75 Lakh,"Malad West, Mumbai",Jun 2019,Comprehensive,Petrol,5 Seats,"46,952 Kms",panvel,First Owner,1497 cc,Automatic,2019,1497 cc,117.6 bhp,18 kmpl,Petrol,,,,,2,,,,,,,
2021 Tata Safari XZA Plus AT,₹18.50 Lakh,"Andheri West, Mumbai",Mar 2021,Comprehensive,Diesel,7 Seats,"28,000 Kms",Mumbai,First Owner,1956 cc,Automatic,2021,1956 cc,167.67 bhp,14.08 kmpl,Diesel,,6,,,6,,,,,,5 Star,
2020 Honda City ZX CVT,₹9.70 Lakh,"Ins Hamla, Mumbai",Jul 2020,Comprehensive,Petrol,5 Seats,"32,000 Kms",Mumbai,First Owner,1498 cc,Automatic,2020,1498 cc,119.35 bhp,18.3 kmpl,Petrol,,,,,6,,,,,,,
2014 Maruti Ertiga VXI CNG,₹6.75 Lakh,"Andheri East, Mumbai",Apr 2014,Expired,CNG,7 Seats,"1,10,232 Kms",panvel,Second Owner,1373 cc,Manual,2014,,,,,,,,,,,,,,,,
2016 Mahindra XUV500 AT W10 FWD,₹9.99 Lakh,"Borivali West, Mumbai",Oct 2016,Expired,Diesel,7 Seats,"72,000 Kms",Mumbai,Second Owner,2179 cc,Automatic,2016,2179 cc,140 bhp,16 kmpl,,200mm,7,FWD,,,,,,,,,
2018 Tata Hexa XTA,₹8.75 Lakh,"Kandivali West, Mumbai",Dec 2018,Comprehensive,Diesel,7 Seats,"1,54,630 Kms",Mumbai,First Owner,2179 cc,Automatic,2018,2179 cc,153.86 bhp,,Diesel,,7,,,6,,,,,,,
2011 Volkswagen Vento Petrol Highline AT,₹3.10 Lakh,"Jekegram, Thane",Mar 2011,Expired,Petrol,5 Seats,"47,001 Kms",Mumbai,First Owner,1598 cc,Automatic,2011,1598 cc,103.6 bhp,14.4 kmpl,Petrol,,,,,,,,,,,,
2022 Maruti Wagon R ZXI 1.2,₹5.49 Lakh,"West, Thane",Mar 2022,Comprehensive,Petrol,5 Seats,"14,502 Kms",Mumbai,Second Owner,1197 cc,Manual,2022,1197 cc,81.80 bhp,20.52 kmpl,Petrol,,,,,2,,,,,,,
2011 Toyota Etios Liva G,₹2.47 Lakh,"Navi, Mumbai",Dec 2011,Comprehensive,Petrol,5 Seats,"27,443 Kms",Mumbai,Second Owner,1197 cc,Manual,2011,1197 cc,78.9 bhp,17.71 kmpl,Petrol,,,,3775mm,,,,,,,,
2023 Skoda Slavia 1.5 TSI Style AT,₹17 Lakh,Mumbai,2023,Expired,Petrol,5 Seats,"10,000 Kms",Mumbai,First Owner,1498 cc,Automatic,2023,1498 cc,147.52 bhp,18.41 kmpl,Petrol,,,,,6,,,,,,5 Star,
2012 Honda City V MT,₹3.45 Lakh,"Prabhadevi, Mumbai",Mar 2012,Expired,Petrol,5 Seats,"74,052 Kms",Mumbai,First Owner,1497 cc,Manual,2012,1497 cc,116.3 bhp,16.8 kmpl,Petrol,,,,,,,,,,,,
2023 MG Hector Savvy Pro CVT,₹19.90 Lakh,"Matunga West, Mumbai",Apr 2023,Comprehensive,Petrol,5 Seats,"18,500 Kms",230B,First Owner,1451 cc,Automatic,2023,1451 cc,141.04 bhp,12.34 kmpl,Petrol,,5,FWD,,,,,,,,,
2018 Hyundai Creta 1.6 VTVT AT SX Plus,₹9.99 Lakh,"Andheri West, Mumbai",Apr 2018,Expired,Petrol,5 Seats,"50,000 Kms",Mumbai,First Owner,1591 cc,Automatic,2018,1591 cc,121.3 bhp,13 kmpl,,190mm,5,FWD,,,,,,,,,
2014 Honda Amaze VX AT i-Vtech,₹4.86 Lakh,Mira Road,2014,Expired,Petrol,5 Seats,"80,000 Kms",,Second Owner,1198 cc,Automatic,2014,1198 cc,86.7 bhp,15.5 kmpl,Petrol,,,,,,,,,,,,
2018 Honda City i-VTEC CVT V,₹7.50 Lakh,"Khar Colony, Mumbai",Jan 2019,Third Party,Petrol,5 Seats,"53,000 Kms",Mumbai,First Owner,1497 cc,Automatic,2018,1497 cc,117.6 bhp,18 kmpl,Petrol,,,,,2,,,,,,,
2016 Maruti Baleno Alpha Diesel,₹5.24 Lakh,"Ghatkopar West, Mumbai",Apr 2016,Comprehensive,Diesel,5 Seats,"50,079 Kms",Mumbai,First Owner,1248 cc,Manual,2016,1248 cc,74 bhp,27.39 kmpl,Diesel,,,,,2,,,,,,,
2018 Maruti Vitara Brezza ZDi AMT,₹8.25 Lakh,"Ghatkopar East, Mumbai",Dec 2018,Expired,Diesel,5 Seats,"45,000 Kms",Mumbai,First Owner,1248 cc,Automatic,2018,1248 cc,88.5 bhp,24.3 kmpl,,198mm,,FWD,,,,,,,,,
2019 Renault KWID 1.0 RXT Optional AT 2016-2019,₹3.42 Lakh,"Nerul, Navi Mumbai",Sept 2019,Expired,Petrol,5 Seats,"14,259 Kms",kalyan,Second Owner,999 cc,Automatic,2019,999 cc,67 bhp,23.01 kmpl,Petrol,,,,,1,,,,,,,
2014 Maruti Wagon R VXI BS IV,₹3.15 Lakh,"Borivali West, Mumbai",Oct 2014,Comprehensive,Petrol,5 Seats,"36,878 Kms",Mumbai,First Owner,998 cc,Manual,2014,998 cc,67.04 bhp,20.51 kmpl,Petrol,,,,3599mm,,,,,,,,
2012 Maruti Swift VXI,₹2.99 Lakh,"Borivali West, Mumbai",Jun 2012,Comprehensive,Petrol,5 Seats,"47,000 Kms",Mumbai,Second Owner,1197 cc,Manual,2012,1197 cc,85.8 bhp,18.6 kmpl,Petrol,,,,3850mm,,,,,,,,
